arqueológica:[('https://es.wikipedia.org/wiki/Roma', 1)]
arqueológicas:[('https://es.wikipedia.org/wiki/Roma', 1)]
arqueológico:[('https://es.wikipedia.org/wiki/Roma', 1)]
arqueológicos:[('https://es.wikipedia.org/wiki/Roma', 5)]
arquitectónica:[('https://es.wikipedia.org/wiki/Roma', 2)]
arquitectónicos:[('https://es.wikipedia.org/wiki/Roma', 2)]
arrancado:[('https://es.wikipedia.org/wiki/Roma', 1)]
arreglados:[('https://es.wikipedia.org/wiki/Roma', 1)]
arriba:[('https://es.wikipedia.org/wiki/Roma', 1)]
arrojados:[('https://es.wikipedia.org/wiki/Roma', 1)]
art:[('https://es.wikipedia.org/wiki/Roma', 1)]
artes:[('https://es.wikipedia.org/wiki/Roma', 2)]
arti:[('https://es.wikipedia.org/wiki/Roma', 1)]
artificiales:[('https://es.wikipedia.org/wiki/Roma', 1)]
artista:[('https://es.wikipedia.org/wiki/Roma', 1)]
artists:[('https://es.wikipedia.org/wiki/Roma', 1)]
arts:[('https://es.wikipedia.org/wiki/Roma', 1)]
artífice:[('https://es.wikipedia.org/wiki/Roma', 1)]
artística:[('https://es.wikipedia.org/wiki/Roma', 4)]
artístico:[('https://es.wikipedia.org/wiki/Roma', 1)]
aruazərbaycancaتۆرکجهбашҡортсаbasa:[('https://es.wikipedia.org/wiki/Roma', 1)]
arx:[('https://es.wikipedia.org/wiki/Roma', 1)]
as:[('https://es.wikipedia.org/wiki/Roma', 1)]
asamblea:[('https://es.wikipedia.org/wiki/Roma', 2)]
ascanio:[('https://es.wikipedia.org/wiki/Roma', 2)]
ascenso:[('https://es.wikipedia.org/wiki/Roma', 2)]
asciende:[('https://es.wikipedia.org/wiki/Roma', 1)]
asediaban:[('https://es.wikipedia.org/wiki/Roma', 1)]
aseguradoras:[('https://es.wikipedia.org/wiki/Roma', 1)]
asentadas:[('https://es.wikipedia.org/wiki/Roma', 1)]
asentó:[('https://es.wikipedia.org/wiki/Roma', 1)]
asesinaron:[('https://es.wikipedia.org/wiki/Roma', 1)]
asignó:[('https://es.wikipedia.org/wiki/Roma', 1)]
asisten:[('https://es.wikipedia.org/wiki/Roma', 1)]
asl:[('https://es.wikipedia.org/wiki/Roma', 1)]
asociaciones:[('https://es.wikipedia.org/wiki/Roma', 2)]
aspectos:[('https://es.wikipedia.org/wiki/Roma', 1)]
assunta:[('https://es.wikipedia.org/wiki/Roma', 1)]
astolfo:[('https://es.wikipedia.org/wiki/Roma', 1)]
asumido:[('https://es.wikipedia.org/wiki/Roma', 1)]
atac:[('https://es.wikipedia.org/wiki/Roma', 1)]
atacar:[('https://es.wikipedia.org/wiki/Roma', 1)]
ataques:[('https://es.wikipedia.org/wiki/Roma', 1)]
ateneo:[('https://es.wikipedia.org/wiki/Roma', 2)]
atenúa:[('https://es.wikipedia.org/wiki/Roma', 1)]
atila:[('https://es.wikipedia.org/wiki/Roma', 1)]
atlante:[('https://es.wikipedia.org/wiki/Roma', 1)]
atlántico:[('https://es.wikipedia.org/wiki/Roma', 1)]
atmosférica:[('https://es.wikipedia.org/wiki/Roma', 1)]
atravesada:[('https://es.wikipedia.org/wiki/Roma', 1)]
atravesados:[('https://es.wikipedia.org/wiki/Roma', 1)]
atravesar:[('https://es.wikipedia.org/wiki/Roma', 1)]
atraviesan:[('https://es.wikipedia.org/wiki/Roma', 2)]
atribuido:[('https://es.wikipedia.org/wiki/Roma', 1)]
atribuía:[('https://es.wikipedia.org/wiki/Roma', 1)]
atrincherado:[('https://es.wikipedia.org/wiki/Roma', 1)]
atrás:[('https://es.wikipedia.org/wiki/Roma', 1)]
attacks:[('https://es.wikipedia.org/wiki/Roma', 1)]
auditorio:[('https://es.wikipedia.org/wiki/Roma', 1)]
augustea:[('https://es.wikipedia.org/wiki/Roma', 1)]
augusto:[('https://es.wikipedia.org/wiki/Roma', 5)]
augustos:[('https://es.wikipedia.org/wiki/Roma', 1)]
augústulo:[('https://es.wikipedia.org/wiki/Roma', 1)]
aumentar:[('https://es.wikipedia.org/wiki/Roma', 1)]
aumentó:[('https://es.wikipedia.org/wiki/Roma', 1)]
aurea:[('https://es.wikipedia.org/wiki/Roma', 1)]
aureliana:[('https://es.wikipedia.org/wiki/Roma', 1)]
aurelianas:[('https://es.wikipedia.org/wiki/Roma', 3)]
aureliano:[('https://es.wikipedia.org/wiki/Roma', 1)]
aurelio:[('https://es.wikipedia.org/wiki/Roma', 2)]
ausones:[('https://es.wikipedia.org/wiki/Roma', 1)]
austria:[('https://es.wikipedia.org/wiki/Roma', 1)]
autopista:[('https://es.wikipedia.org/wiki/Roma', 1)]
autopistas:[('https://es.wikipedia.org/wiki/Roma', 1)]
auténticos:[('https://es.wikipedia.org/wiki/Roma', 1)]
autónoma:[('https://es.wikipedia.org/wiki/Roma', 2)]
auxilium:[('https://es.wikipedia.org/wiki/Roma', 1)]
avenidas:[('https://es.wikipedia.org/wiki/Roma', 1)]
aventino:[('https://es.wikipedia.org/wiki/Roma', 2)]
aventuró:[('https://es.wikipedia.org/wiki/Roma', 1)]
aviñón:[('https://es.wikipedia.org/wiki/Roma', 2)]
ayuda:[('https://es.wikipedia.org/wiki/Roma', 1)]
ayuntamiento:[('https://es.wikipedia.org/wiki/Roma', 1)]
aérea:[('https://es.wikipedia.org/wiki/Roma', 1)]
añadir:[('https://es.wikipedia.org/wiki/Roma', 1)]
aún:[('https://es.wikipedia.org/wiki/Roma', 4)]
babuino:[('https://es.wikipedia.org/wiki/Roma', 2)]
bailes:[('https://es.wikipedia.org/wiki/Roma', 1)]
baja:[('https://es.wikipedia.org/wiki/Roma', 3)]
bajas:[('https://es.wikipedia.org/wiki/Roma', 1)]
balbi:[('https://es.wikipedia.org/wiki/Roma', 1)]
balbo:[('https://es.wikipedia.org/wiki/Roma', 1)]
balneario:[('https://es.wikipedia.org/wiki/Roma', 1)]
baloncesto:[('https://es.wikipedia.org/wiki/Roma', 1)]
bambino:[('https://es.wikipedia.org/wiki/Roma', 1)]
banda:[('https://es.wikipedia.org/wiki/Roma', 1)]
banderaescudo:[('https://es.wikipedia.org/wiki/Roma', 1)]
bangladesíes:[('https://es.wikipedia.org/wiki/Roma', 1)]
barberini:[('https://es.wikipedia.org/wiki/Roma', 1)]
barcaccia:[('https://es.wikipedia.org/wiki/Roma', 1)]
bari:[('https://es.wikipedia.org/wiki/Roma', 1)]
baronales:[('https://es.wikipedia.org/wiki/Roma', 1)]
barrio:[('https://es.wikipedia.org/wiki/Roma', 5)]
